date,type,game_id,sr_start,sr_finish,sr_delta,result,my_team_sr,enemy_team_sr,map,round,healing,resuruct,deaths,killing participation % card,healing % card,offensive assists,defensive assists,blaster kills,damage amplified
28-Nov,qp,melona,,,,win,,,volskaya industries,attack,5784,3,1,,49,7,14,0,169
28-Nov,qp,melona,,,,win,,,hanamura,defense,6741,4,3,68,,19,30,0,519
28-Nov,qp,melona,,,,loss,,,hanamura,attack,9511,5,4,,28,8,12,0,180
28-Nov,qp,melona,,,,loss,,,horizon lunar colony,attack,15457,6,8,,34,22,13,2,195
28-Nov,qp,melona,,,,win,,,horizon lunar colony,defense,3969,0,0,75,,11,18,0,150
28-Nov,qp,melona,,,,loss,,,eichenwald,attack,7626,8,7,,,2,11,2,423
28-Nov,qp,melona,,,,win,,,rialto,attack,5250,6,3,52,,20,28,2,564
30-Nov,qp,melona,,,,win,,,numbani,attack,8245,3,2,,42,9,19,1,112
30-Nov,qp,melona,,,,win,,,numbani,defense,11997,7,7,51,,20,30,2,361
2-Dec,qp,melona,,,,win,,,junkertown,attack,14204,3,3,,58,10,25,0,178
2-Dec,qp,melona,,,,loss,,,anubis,defense,6569,6,5,,27,4,11,0,236
2-Dec,qp,melona,,,,win,,,oasis,attack,12712,7,8,,26,18,33,0,175
2-Dec,qp,melona,,,,win,,,dorado,defense,12072,7,5,,37,10,18,1,575
2-Dec,qp,melona,,,,win,,,eichenwald,attack,7052,7,9,,26,11,19,0,227
2-Dec,qp,melona,,,,win,,,rialto,defense,19555,6,2,,41,21,44,0,469
2-Dec,qp,melona,,,,loss,,,illios,attack,15019,6,6,,39,15,29,0,387
2-Dec,qp,melona,,,,loss,,,nepal,attack,14840,11,8,,35,16,29,2,632
2-Dec,qp,melona,,,,win,,,numbani,attack,9480,4,8,,32,14,24,1,361
2-Dec,qp,melona,,,,win,,,rialto,attack,8052,4,0,78,,17,29,1,868
2-Dec,qp,progirl,,,,win,,,rialto,attack,5916,3,1,,46,9,19,0,217
2-Dec,qp,progirl,,,,win,,,numbani,attack,6533,5,1,,39,11,20,1,141
2-Dec,qp,progirl,,,,win,,,dorado,defense,8781,7,4,60,,16,29,0,340
2-Dec,qp,progirl,,,,win,,,dorado,attack,10026,5,3,,46,11,22,0,219
2-Dec,qp,progirl,,,,win,,,horizon lunar colony,attack,5722,3,2,72,,11,18,0,197
2-Dec,qp,progirl,,,,loss,,,watchpoint gibraltar,attack,6450,5,4,,,8,10,0,403
2-Dec,qp,progirl,,,,win,,,lijian tower,attack,10158,6,4,,30,15,30,0,1134
2-Dec,qp,progirl,,,,win,,,anubis,attack,4885,4,1,,34,4,9,0,88
3-Dec,qp,progirl,,,,loss,,,watchpoint gibraltar,defense,11465,5,4,,38,18,24,1,910
3-Dec,qp,melona,,,,win,,,anubis,defense,5533,3,2,,,10,16,0,188
3-Dec,qp,melona,,,,win,,,eichenwald,defense,10240,9,8,41,,16,19,3,366
3-Dec,qp,merong,,,,loss,,,numbani,defense,8427,5,5,,28,13,14,0,454
3-Dec,qp,merong,,,,win,,,volskaya industries,defense,3477,0,3,,56,15,15,0,240
3-Dec,qp,merong,,,,win,,,blizzard world,defense,6738,7,4,41,,15,21,20,278
3-Dec,qp,merong,,,,win,,,blizzard world,attack,12815,5,5,,37,13,14,0,454
3-Dec,qp,merong,,,,win,,,hollywood,defense,7700,6,5,,,13,19,1,481
3-Dec,qp,merong,,,,win,,,oasis,attack,17722,9,7,,35,29,38,1,1077
3-Dec,qp,merong,,,,win,,,route 66,defense,11460,2,4,,46,26,35,0,503
3-Dec,qp,merong,,,,loss,,,route 66,attack,15159,12,5,,28,25,29,0,562
3-Dec,qp,merong,,,,loss,,,eichenwald,attack,8659,10,4,,,12,17,9,761
4-Dec,qp,progirl,,,,win,,,hanamura,attack,4614,6,13,,29,7,14,2,99
4-Dec,qp,progirl,,,,loss,,,hanamura,defense,5278,4,4,,26,9,10,0,176
4-Dec,qp,progirl,,,,loss,,,rialto,defense,6090,1,13,,25,8,9,0,204
4-Dec,qp,progirl,,,,win,,,lijian tower,attack,14913,7,6,,37,21,29,0,831
4-Dec,qp,progirl,,,,win,,,illios,attack,12836,9,9,,27,14,27,3,206
4-Dec,qp,progirl,,,,win,,,anubis,defense,8649,7,4,,32,15,24,2,293
4-Dec,qp,progirl,,,,win,,,busan,attack,17048,13,13,,,11,20,1,538
4-Dec,qp,progirl,,,,win,,,kings row,attack,8930,3,1,,36,14,30,0,445
